;name;model;manufacturer;cost_in_credits;length;max_atmosphering_speed;crew;passengers;cargo_capacity;consumables;hyperdrive_rating;MGLT;starship_class;component;src
0;Executor;Executor-class star dreadnought;Kuat Drive Yards, Fondor Shipyards;1143350000.0;19000;;279144.0;38000.0;250000000.0;6 years;2;40.0;Star dreadnought;starships;Executor.jpg
1;Sentinel-class landing craft;Sentinel-class landing craft;Sienar Fleet Systems, Cyngus Spaceworks;240000.0;38;1000;5.0;75.0;180000.0;1 month;1;70.0;landing craft;starships;Sentinel-class_landing_craft.jpg
2;Death Star;DS-1 Orbital Battle Station;Imperial Department of Military Research, Sienar Fleet Systems;1000000000000.0;120000;;342953.0;843342.0;1000000000000.0;3 years;4;10.0;Deep Space Mobile Battlestation;starships;Death_Star.jpg
3;Millennium Falcon;YT-1300 light freighter;Corellian Engineering Corporation;100000.0;34,37;1050;4.0;6.0;100000.0;2 months;0,5;75.0;Light freighter;starships;Millennium_Falcon.jpg
4;Y-wing;BTL Y-wing;Koensayr Manufacturing;134999.0;14;1000km;2.0;0.0;110.0;1 week;1;80.0;assault starfighter;starships;Y-wing.jpg
5;X-wing;T-65 X-wing;Incom Corporation;149999.0;12,5;1050;1.0;0.0;110.0;1 week;1;100.0;Starfighter;starships;X-wing.jpg
6;TIE Advanced x1;Twin Ion Engine Advanced x1;Sienar Fleet Systems;;9,2;1200;1.0;0.0;150.0;5 days;1;105.0;Starfighter;starships;TIE_Advanced_x1.jpg
7;Slave 1;Firespray-31-class patrol and attack;Kuat Systems Engineering;;21,5;1000;1.0;6.0;70000.0;1 month;3;70.0;Patrol craft;starships;Slave_1.jpg
8;Imperial shuttle;Lambda-class T-4a shuttle;Sienar Fleet Systems;240000.0;20;850;6.0;20.0;80000.0;2 months;1;50.0;Armed government transport;starships;Imperial_shuttle.jpg
9;EF76 Nebulon-B escort frigate;EF76 Nebulon-B escort frigate;Kuat Drive Yards;8500000.0;300;800;854.0;75.0;6000000.0;2 years;2;40.0;Escort ship;starships;EF76_Nebulon-B_escort_frigate.jpg
10;Calamari Cruiser;MC80 Liberty type Star Cruiser;Mon Calamari shipyards;104000000.0;1200;;5400.0;1200.0;;2 years;1;60.0;Star Cruiser;starships;Calamari_Cruiser.jpg
11;A-wing;RZ-1 A-wing Interceptor;Alliance Underground Engineering, Incom Corporation;175000.0;9,6;1300;1.0;0.0;40.0;1 week;1;120.0;Starfighter;starships;A-wing.jpg
12;B-wing;A/SF-01 B-wing starfighter;Slayn & Korpil;220000.0;16,9;950;1.0;0.0;45.0;1 week;2;91.0;Assault Starfighter;starships;B-wing.jpg
13;Republic Cruiser;Consular-class cruiser;Corellian Engineering Corporation;;115;900;9.0;16.0;;;2;;Space cruiser;starships;Republic_Cruiser.jpg
